CMDLINE /Users/localadmin/miniforge3/envs/splitting_env/bin/python3.9 ./setup_labeled_data.py
MEM 310.656250 1725357536.5281
MEM 310.656250 1725357536.6332
MEM 304.687500 1725357536.7384
MEM 300.203125 1725357536.8404
MEM 293.718750 1725357536.9455
MEM 293.734375 1725357537.0506
MEM 293.984375 1725357537.1534
MEM 294.343750 1725357537.2547
MEM 290.140625 1725357537.3596
MEM 290.453125 1725357537.4646
MEM 278.171875 1725357537.5697
MEM 278.500000 1725357537.6707
MEM 278.812500 1725357537.7757
MEM 279.140625 1725357537.8808
MEM 267.859375 1725357537.9855
MEM 252.156250 1725357538.0906
MEM 252.625000 1725357538.1956
MEM 252.781250 1725357538.3006
MEM 248.812500 1725357538.4057
MEM 267.593750 1725357538.5108
MEM 294.781250 1725357538.6110
MEM 290.265625 1725357538.7161
MEM 290.265625 1725357538.8212
MEM 290.265625 1725357538.9266
MEM 290.265625 1725357539.0319
MEM 290.437500 1725357539.1323
MEM 282.453125 1725357539.2375
MEM 282.546875 1725357539.3423
MEM 282.718750 1725357539.4440
MEM 282.796875 1725357539.5480
MEM 283.078125 1725357539.6494
MEM 283.375000 1725357539.7504
MEM 283.703125 1725357539.8554
MEM 284.015625 1725357539.9605
MEM 284.328125 1725357540.0654
MEM 284.640625 1725357540.1705
MEM 284.937500 1725357540.2755
MEM 285.250000 1725357540.3805
MEM 277.703125 1725357540.4856
MEM 278.125000 1725357540.5906
MEM 278.593750 1725357540.6957
MEM 279.609375 1725357540.8007
MEM 295.265625 1725357540.9058
MEM 311.968750 1725357541.0109
MEM 311.968750 1725357541.1160
MEM 311.968750 1725357541.2213
MEM 307.984375 1725357541.3267
MEM 308.171875 1725357541.4320
MEM 308.203125 1725357541.5361
MEM 306.984375 1725357541.6387
MEM 307.015625 1725357541.7438
MEM 307.390625 1725357541.8488
MEM 307.718750 1725357541.9538
MEM 308.109375 1725357542.0547
MEM 308.546875 1725357542.1597
MEM 309.062500 1725357542.2647
MEM 309.593750 1725357542.3698
MEM 309.984375 1725357542.4709
MEM 303.593750 1725357542.5720
MEM 303.859375 1725357542.6771
MEM 322.359375 1725357542.7821
MEM 327.015625 1725357542.8872
MEM 327.015625 1725357542.9923
MEM 327.015625 1725357543.0976
MEM 327.015625 1725357543.2028
MEM 327.171875 1725357543.3091
MEM 327.203125 1725357543.4114
MEM 327.375000 1725357543.5160
MEM 327.375000 1725357543.6211
MEM 327.593750 1725357543.7261
MEM 326.796875 1725357543.8311
MEM 327.125000 1725357543.9362
MEM 327.421875 1725357544.0412
MEM 327.734375 1725357544.1453
MEM 328.062500 1725357544.2504
MEM 328.375000 1725357544.3533
MEM 333.640625 1725357544.4584
MEM 335.906250 1725357544.5635
MEM 335.906250 1725357544.6686
MEM 335.906250 1725357544.7738
MEM 335.906250 1725357544.8755
MEM 335.968750 1725357544.9775
MEM 335.984375 1725357545.0826
MEM 336.140625 1725357545.1876
MEM 324.421875 1725357545.2926
MEM 324.734375 1725357545.3977
MEM 325.046875 1725357545.5027
MEM 325.421875 1725357545.6077
MEM 319.109375 1725357545.7127
MEM 314.265625 1725357545.8177
MEM 314.781250 1725357545.9228
MEM 313.937500 1725357546.0278
MEM 314.328125 1725357546.1328
MEM 313.828125 1725357546.2360
MEM 335.015625 1725357546.3411
MEM 335.015625 1725357546.4462
MEM 335.015625 1725357546.5515
MEM 325.828125 1725357546.6566
MEM 325.812500 1725357546.7617
MEM 325.812500 1725357546.8667
MEM 324.656250 1725357546.9718
MEM 310.078125 1725357547.0769
MEM 310.390625 1725357547.1800
MEM 310.703125 1725357547.2851
MEM 303.546875 1725357547.3901
MEM 295.609375 1725357547.4952
MEM 295.906250 1725357547.5960
MEM 296.218750 1725357547.7011
MEM 296.531250 1725357547.8061
MEM 296.843750 1725357547.9107
MEM 297.156250 1725357548.0157
MEM 297.484375 1725357548.1207
MEM 297.796875 1725357548.2253
MEM 299.671875 1725357548.3254
MEM 311.218750 1725357548.4305
MEM 319.296875 1725357548.5357
MEM 317.281250 1725357548.6412
MEM 314.859375 1725357548.7464
MEM 315.218750 1725357548.8515
MEM 315.218750 1725357548.9567
MEM 309.296875 1725357549.0597
MEM 309.390625 1725357549.1648
MEM 309.578125 1725357549.2698
MEM 309.765625 1725357549.3748
MEM 310.062500 1725357549.4799
MEM 310.359375 1725357549.5800
MEM 307.031250 1725357549.6830
MEM 307.343750 1725357549.7880
MEM 307.640625 1725357549.8885
MEM 304.140625 1725357549.9936
MEM 304.453125 1725357550.0974
MEM 304.343750 1725357550.2024
MEM 321.890625 1725357550.3075
MEM 321.890625 1725357550.4125
MEM 310.625000 1725357550.5137
MEM 310.656250 1725357550.6191
MEM 310.734375 1725357550.7244
MEM 310.843750 1725357550.8281
MEM 310.843750 1725357550.9332
MEM 310.843750 1725357551.0371
MEM 311.140625 1725357551.1373
MEM 311.437500 1725357551.2424
MEM 311.828125 1725357551.3474
MEM 312.156250 1725357551.4520
MEM 312.500000 1725357551.5570
MEM 306.203125 1725357551.6599
MEM 306.625000 1725357551.7614
MEM 314.000000 1725357551.8664
MEM 316.062500 1725357551.9694
MEM 316.062500 1725357552.0745
MEM 316.171875 1725357552.1798
MEM 316.312500 1725357552.2850
MEM 309.953125 1725357552.3902
MEM 309.984375 1725357552.4953
MEM 301.671875 1725357552.5987
MEM 301.546875 1725357552.7000
MEM 301.843750 1725357552.8051
MEM 302.156250 1725357552.9101
MEM 302.484375 1725357553.0147
MEM 299.390625 1725357553.1197
MEM 299.703125 1725357553.2247
MEM 300.015625 1725357553.3298
MEM 300.312500 1725357553.4307
MEM 300.671875 1725357553.5357
MEM 300.984375 1725357553.6407
MEM 319.968750 1725357553.7411
MEM 352.125000 1725357553.8416
MEM 359.015625 1725357553.9430
MEM 361.968750 1725357554.0441
MEM 339.281250 1725357554.1455
MEM 343.937500 1725357554.2506
MEM 350.328125 1725357554.3557
MEM 356.734375 1725357554.4608
MEM 361.562500 1725357554.5659
MEM 367.515625 1725357554.6711
MEM 372.921875 1725357554.7762
MEM 379.984375 1725357554.8813
MEM 384.671875 1725357554.9864
MEM 397.671875 1725357555.0915
MEM 414.921875 1725357555.1961
MEM 435.734375 1725357555.3014
